gbifID,imageURL,countryCode,eventDate
5003971395,https://arter.dk/media/6b9c18e6-15d0-4d91-9990-b25c00d9adef.jpg,DK,2025-01-05
5003971395,https://arter.dk/media/9908775f-2c99-4ede-af9a-b25c00d9ad89.jpg,DK,2025-01-05
5003971395,https://arter.dk/media/703c4ccf-2d5a-4cc6-8a0c-b25c00d9adb9.jpg,DK,2025-01-05
5004994684,https://observation.org/photos/109940841.jpg,NL,2025-01-01
5005984164,https://observation.org/photos/109941213.jpg,DE,2025-01-01
5005979017,https://observation.org/photos/109955631.jpg,NL,2025-01-01
5005979017,https://observation.org/photos/109955632.jpg,NL,2025-01-01
5004965772,https://observation.org/photos/109941916.jpg,NL,2025-01-01
5004965063,https://observation.org/photos/109942013.jpg,DE,2025-01-01
5006541767,https://observation.org/photos/109942027.jpg,DE,2025-01-01
5005862075,https://observation.org/photos/109942045.jpg,DE,2025-01-01
5004952575,https://observation.org/photos/109942402.jpg,DE,2025-01-01
5005816768,https://observation.org/photos/109945324.jpg,NL,2025-01-01
5005816768,https://observation.org/photos/109945323.jpg,NL,2025-01-01
5006084031,https://observation.org/photos/109949637.jpg,ES,2025-01-01
5005151607,https://observation.org/photos/110066854.jpg,NL,2025-01-01
5006009032,https://observation.org/photos/109951739.jpg,NL,2025-01-01
5006180818,https://observation.org/photos/109951780.jpg,NL,2025-01-01
5004965195,https://observation.org/photos/109959208.jpg,NL,2025-01-01
5005845960,https://observation.org/photos/109959321.jpg,ES,2025-01-01
5005845960,https://observation.org/photos/109959320.jpg,ES,2025-01-01
5005212941,https://observation.org/photos/109962860.jpg,DE,2025-01-01
5005240103,https://observation.org/photos/109965881.jpg,NL,2025-01-02
5006169363,https://observation.org/photos/109966233.jpg,NL,2025-01-02
